#      ID           Name         RA        DEC      X      Y       F_int     F_peak  F_int(fit)  F_pk(fit)  Maj(fit)  Min(fit) P.A.(fit) Maj(fit_deconv.)   Min(fit_deconv.) P.A.(fit_deconv.)      Alpha      Beta  Chisq(fit)  RMS(image)  RMS(fit) Nfree(fit) NDoF(fit) NPix(fit) NPix(obj) Guess?
#      --             --      [deg]      [deg]  [pix]  [pix]        [Jy]  [Jy/beam]        [Jy]  [Jy/beam]  [arcsec]  [arcsec]     [deg]         [arcsec]           [arcsec]             [deg]         --        --          --   [Jy/beam] [Jy/beam]         --        --        --        --     --
     160a J122339-460852 185.921606 -46.158266 1417.5  603.2     0.01047     0.0070      0.0085     0.0072    65.104    46.802    166.60           34.140            0.00000            317.02  -1.582198   0.00000      5.0497     0.00040     0.237          6        77        90        90      0
     160b J122339-460852 185.905536 -46.129619 1421.8  613.4     0.01047     0.0070      0.0058     0.0047    68.574    46.391    140.39           36.240           12.89863            285.96   0.131957   0.00000      5.0497     0.00040     0.237          6        77        90        90      0
     161a J122340-433417 185.918327 -43.571676 1436.5 1534.1     0.02346     0.0229      0.0285     0.0243    66.971    45.120    150.67           32.505            9.46145            298.83   0.012242   0.00000     25.2917     0.00081     0.649          6        53        60        60      0
     162a J122342-445206 185.926980 -44.868576 1425.3 1067.4     0.00540     0.0064      0.0083     0.0066    69.820    46.908    149.77           37.942           16.14928            297.81   0.019506   0.00000      1.0346     0.00052     0.163          6        32        39        39      0
     163a J122347-453234 185.946727 -45.543277 1415.6  824.7     0.00198     0.0031      0.0043     0.0032    76.817    45.372    164.11           51.476            0.00000            318.96  -0.003893   0.00000      0.0703     0.00045     0.054          6        17        24        24      0
     164a J122347-441403 185.947328 -44.234311 1424.4 1295.8     0.01824     0.0186      0.0227     0.0198    63.686    46.432    146.24           24.852           14.81491            293.49   0.007873   0.00000     11.5887     0.00082     0.459          6        48        55        55      0
     165a J122347-422828 185.948731 -42.473678 1435.9 1929.2     0.03018     0.0314      0.0900     0.0317   116.391    63.030    171.05          101.904           41.95834            336.13   0.074860   0.00000      0.1490     0.00503     0.066          6        27        34        34      0
     166a J122349-442840 185.953218 -44.477592 1421.3 1208.3     0.00437     0.0082      0.0085     0.0083    85.854    30.980    114.34           66.774            0.00000            239.78  -0.116131   0.00000      1.6196     0.00097     0.271          6        15        22        22      0
     167a J122349-445401 185.956669 -44.899896 1417.5 1056.3     0.00146     0.0032      0.0040     0.0033    61.545    51.153    171.37           32.873            0.00000            315.56   0.015774   0.00000      0.0338     0.00051     0.046          6         9        16        16      0
     168a J122350-443503 185.962046 -44.584429 1418.3 1169.9     0.04073     0.0405      0.0452     0.0418    59.824    46.568    141.17           18.751            4.60245            288.76  -0.575234  -0.45306     44.6400     0.00082     0.771          6        68        75        75      0
     169a J122352-432841 185.969734 -43.478273 1423.7 1568.0     0.00448     0.0063      0.0092     0.0064    70.598    51.979    146.76           39.286           27.70716            294.01   0.012104   0.00000      0.0550     0.00088     0.044          6        21        28        28      0
     170a J122353-442716 185.970484 -44.453577 1417.0 1217.0     0.89909     0.8424      0.8424     0.8424    58.661    43.973    147.38            0.012            0.00055            294.77  -1.441493  -1.75970    999.0000     0.00095     0.000          0         0         0       153      1
     170b J122353-442716 185.935535 -44.450322 1426.0 1218.0     0.89909     0.8424      0.0060     0.0060    58.661    43.973    147.38            0.012            0.00055            294.77  -0.196599  -0.11762    999.0000     0.00095     0.000          0         0         0       153      1
     171a J122357-451232 185.991083 -45.209076 1406.7  945.2     0.01053     0.0118      0.0132     0.0124    60.945    44.944    150.77           17.680            6.84662            298.36  -0.246137   0.00000      7.4662     0.00056     0.386          6        43        50        50      0
     172a J122359-435321 185.998495 -43.889238 1413.5 1420.2     0.02709     0.0267      0.0318     0.0283    63.105    45.998    143.54           23.948           12.24238            290.51  -0.754391   0.00000     27.5218     0.00072     0.656          6        57        64        64      0
     173a J122402-442725 186.009781 -44.457135 1406.9 1215.9     0.00183     0.0055      0.0060     0.0054    60.308    48.167     73.98           40.557            0.00000            234.12  -0.787375   0.00000      0.1168     0.00091     0.099          6         5        12        12      0
     174a J122409-460120 186.037973 -46.022452 1389.4  652.6     0.01705     0.0170      0.0193     0.0179    61.735    45.031    144.25           19.915            8.22157            291.37  -1.018200   0.00000     22.4344     0.00039     0.570          6        62        69        69      0
     175a J122413-464337 186.056879 -46.727134 1380.1  399.2     0.19349     0.1957      0.1973     0.1967    59.239    43.682    146.65            8.490            0.00000            294.01  -2.076591   0.00000    212.3560     0.00059     1.325          6       114       121       121      0
     176a J122414-453002 186.059536 -45.500155 1387.4  840.7     0.00216     0.0028      0.0058     0.0027    93.969    58.260    132.95           74.261           36.53883            272.05  -0.006529   0.00000      1.5915     0.00044     0.234          6        22        29        29      0
     177a J122414-460330 186.060295 -46.058084 1383.6  639.9     0.00147     0.0027      0.0034     0.0027    70.944    45.018    149.60           39.954            9.40587            297.72  -0.028828   0.00000      0.0255     0.00037     0.035          6        14        21        21      0
     178a J122415-454027 186.063671 -45.674094 1385.3  778.1     0.00135     0.0024      0.0033     0.0024    72.189    49.128    155.15           42.746           20.56326            304.87  -1.755777   0.00000      0.0330     0.00037     0.040          6        14        21        21      0
     179a J122416-450122 186.057456 -45.018900 1391.1 1013.9     0.01126     0.0083      0.0096     0.0084    65.332    44.978    144.75           28.925            8.93655            291.61   0.009095   0.00451      5.6623     0.00054     0.273          6        63        76        76      0
     179b J122416-450122 186.088221 -45.029869 1383.2 1010.1     0.01126     0.0083      0.0068     0.0053    69.472    47.231    143.57           37.429           16.77802            289.94   0.015230   0.00750      5.6623     0.00054     0.273          6        63        76        76      0
     180a J122419-451821 186.079684 -45.306174 1383.6  910.6     0.02118     0.0210      0.0246     0.0221    62.384    45.975    149.50           21.527           12.93166            297.06  -0.605575  -0.48615     17.6561     0.00054     0.521          6        58        65        65      0
     181a J122421-453854 186.090709 -45.648483 1378.6  787.5     0.00464     0.0043      0.0070     0.0045    76.116    52.646    141.71           48.799           28.44467            287.19  -0.748212   0.00000      1.5050     0.00037     0.175          6        42        49        49      0
     182a J122421-445853 186.091483 -44.981636 1382.6 1027.5     0.00248     0.0041      0.0053     0.0043    70.889    45.465    152.01           40.048           10.66324            300.90   0.012185   0.00000      0.0642     0.00057     0.053          6        16        23        23      0
     183a J122422-454807 186.093789 -45.802135 1376.9  732.2     0.01852     0.0172      0.0204     0.0174    60.688    49.759    161.86           27.591            4.78882            307.61  -0.988805   0.00000     26.3355     0.00034     0.567          6        75        82        82      0
     184a J122424-465752 186.100003 -46.964853 1367.9  313.8     0.00739     0.0117      0.0123     0.0118    62.070    43.578    149.93           20.597            0.00000            297.64  -0.177435   0.00000      0.8343     0.00117     0.173          6        21        28        28      0
     185a J122428-462012 186.117508 -46.336692 1367.6  539.9     0.00114     0.0022      0.0027     0.0023    68.546    44.742    157.07           36.706            0.00000            307.22  -0.023802   0.00000      0.0283     0.00031     0.039          6        12        19        19      0
     186a J122428-465524 186.119085 -46.923482 1363.5  328.8     0.07134     0.0724      0.0761     0.0755    59.386    43.823    145.26           10.587            0.00000            292.58  -2.571863   0.00000     45.9287     0.00104     0.744          6        76        83        83      0
     187a J122432-432927 186.137001 -43.491198 1379.9 1564.1     0.00655     0.0075      0.0105     0.0076    73.234    48.758    149.81           43.904           20.93582            298.00  -0.005120   0.00000      0.4852     0.00073     0.110          6        33        40        40      0
     188a J122433-430508 186.137951 -43.085713 1382.1 1710.0     0.01675     0.0168      0.0240     0.0171    73.318    49.342    147.02           43.983           22.37989            294.28   0.015822   0.00000      1.4092     0.00117     0.170          6        42        49        49      0
     189a J122433-445051 186.138790 -44.847649 1371.4 1075.9     0.02559     0.0237      0.0290     0.0247    63.462    47.620    144.50           24.709           17.59864            291.66  -1.398987   0.00000     31.1201     0.00055     0.644          6        68        75        75      0
     190a J122438-433253 186.160220 -43.547837 1373.6 1543.8     0.00342     0.0045      0.0074     0.0047    75.441    54.221    161.19           49.169           28.96366            312.68  -0.004194   0.00000      0.0754     0.00066     0.051          6        22        29        29      0
     191a J122440-431620 186.166592 -43.272299 1373.5 1643.0     0.00677     0.0078      0.0110     0.0081    77.646    45.075    155.32           51.313            7.26931            306.31   0.021907   0.00000      0.3132     0.00088     0.091          6        31        38        38      0
     192a J122442-452806 186.175353 -45.472083 1358.4  851.3     0.02878     0.0230      0.0274     0.0237    64.895    46.034    144.86           27.937           13.23713            291.83  -1.082144   0.00000     36.5171     0.00047     0.554          6       106       119       119      0
     192b J122442-452806 186.182971 -45.446152 1356.6  860.7     0.02878     0.0230      0.0064     0.0045    72.052    50.714    131.70           44.355           20.52479            274.76  -0.022805   0.00000     36.5171     0.00047     0.554          6       106       119       119      0
     193a J122442-455725 186.177111 -45.957267 1355.1  676.7     0.00268     0.0031      0.0045     0.0032    66.881    54.218    131.20           37.986           24.39341            278.44   0.021962   0.00000      0.2653     0.00031     0.085          6        30        37        37      0
     194a J122442-460841 186.178741 -46.144827 1353.5  609.2     0.01797     0.0169      0.0199     0.0176    60.167    48.389    142.84           21.264           11.60213            290.60  -0.250132   0.00000     20.2345     0.00034     0.509          6        71        78        78      0
     195a J122443-450600 186.179525 -45.100116 1359.5  985.2     0.04612     0.0453      0.0495     0.0474    60.608    44.421    143.89           16.523            0.00000            291.06  -0.754414   0.00000     95.2766     0.00056     1.059          6        78        85        85      0
     196a J122443-431349 186.181477 -43.230091 1369.8 1658.3     0.00429     0.0064      0.0091     0.0065    76.336    47.214    155.52           49.364           15.64744            306.25   0.006762   0.00000      0.2222     0.00092     0.092          6        19        26        26      0
     197a J122444-452113 186.183280 -45.353865 1357.1  893.9     0.00889     0.0098      0.0116     0.0101    64.716    46.062    141.42           28.315           11.54713            287.87  -0.480954   0.00000      2.4627     0.00055     0.224          6        42        49        49      0
     198a J122446-440428 186.191640 -44.074518 1362.4 1354.4     0.01372     0.0152      0.0199     0.0158    67.915    47.642    153.29           34.841           17.13306            301.96   0.005158   0.00257      1.5020     0.00111     0.187          6        36        43        43      0
     199a J122446-440134 186.193795 -44.026232 1362.1 1371.8     0.03060     0.0299      0.0363     0.0307    63.781    47.789    151.31           25.823           17.61423            299.03   0.350991   0.00000     11.9407     0.00101     0.429          6        58        65        65      0
     200a J122450-453700 186.208487 -45.616877 1349.2  799.3     0.02872     0.0291      0.0313     0.0300    60.344    44.671    147.10           14.165            7.83743            294.47  -1.118695   0.00000     69.3446     0.00038     0.943          6        71        78        78      0
     201a J122451-422919 186.213340 -42.488728 1365.5 1925.1     0.06403     0.0581      0.1074     0.0594    79.600    58.594    159.09           54.899           37.15859            310.22   0.024627   0.00000      0.6096     0.00615     0.113          6        41        48        48      0
     202a J122500-441314 186.252277 -44.220625 1345.9 1302.1     0.02041     0.0203      0.0266     0.0211    64.973    50.165    150.27           28.445           23.54109            297.83   0.018746   0.00000      5.6591     0.00113     0.324          6        47        54        54      0
     203a J122503-465841 186.266310 -46.977318 1327.0  310.0     0.98413     0.6886      0.6886     0.6886    58.661    43.973    147.38            0.012            0.00055            294.77  -4.132251   0.00000    999.0000     0.00134     0.000          0         0         0       205      1
     204a J122504-445030 186.266743 -44.841810 1338.8 1078.6     0.00620     0.0071      0.0095     0.0073    65.213    51.540    137.02           32.402           22.01221            284.10   0.007448   0.00000      0.8810     0.00059     0.148          6        33        40        40      0
     205a J122504-445500 186.266700 -44.916461 1338.4 1051.7     0.05884     0.0509      0.0638     0.0537    67.389    45.494    146.47           33.184           11.62304            293.63  -1.268526   0.00000     75.9666     0.00063     0.914          6        84        91        91      0
     206a J122507-464631 186.282495 -46.775572 1324.2  382.6     0.01374     0.0147      0.0171     0.0152    63.335    45.720    145.58           24.022           12.24306            292.74  -2.064396   0.00000      5.6586     0.00064     0.324          6        47        54        54      0
     207a J122507-452712 186.282321 -45.453493 1331.5  858.4     0.02624     0.0269      0.0294     0.0283    59.877    44.765    146.02           12.616            7.42995            293.37  -0.947196   0.00000     40.1228     0.00051     0.763          6        62        69        69      0
     208a J122510-465522 186.294338 -46.923142 1320.4  329.6     0.01471     0.0158      0.0207     0.0161    70.885    46.735    126.60           43.689            0.00000            267.34  -0.938967   0.00000      2.7643     0.00111     0.243          6        40        47        47      0
     209a J122511-452054 186.299105 -45.348511 1327.8  896.3     0.07312     0.0714      0.0777     0.0741    60.117    45.001    146.70           13.302            9.35260            294.06  -1.243556   0.00000    183.5558     0.00058     1.413          6        85        92        92      0
     210a J122513-444435 186.307822 -44.743223 1328.8 1114.2     0.00859     0.0069      0.0127     0.0070    77.308    60.859    138.81           51.230           41.00169            284.45  -0.399144   0.00000      3.8755     0.00054     0.254          6        53        60        60      0
     211a J122518-443356 186.325035 -44.565971 1325.3 1178.1     0.00324     0.0047      0.0055     0.0048    64.120    46.125    148.33           25.921           13.86313            295.84   0.016324   0.00000      0.3855     0.00053     0.113          6        23        30        30      0
     212a J122519-453624 186.330316 -45.606772 1318.6  803.4     0.00358     0.0040      0.0060     0.0042    70.079    52.146    148.80           38.377           27.97732            296.44  -0.595014   0.00000      0.3579     0.00042     0.097          6        31        38        38      0
     213a J122523-463247 186.347717 -46.546673 1309.3  465.2     0.00110     0.0021      0.0029     0.0021    73.875    48.509    165.71           47.611           12.99920            319.64   0.032895   0.00000      0.0393     0.00035     0.045          6        12        19        19      0
     214a J122527-440748 186.361730 -44.129704 1318.1 1335.2     0.08691     0.0900      0.0796     0.0827    59.237    41.939    154.90           13.833            0.00000            302.85   0.122903   0.05390     14.0333     0.00184     0.427          6        64        77        77      0
     214b J122527-440748 186.372176 -44.131718 1315.4 1334.5     0.08691     0.0900      0.0166     0.0165    58.197    44.571     85.75           35.763            0.00000            237.04  -0.317290  -0.20898     14.0333     0.00184     0.427          6        64        77        77      0
     215a J122529-424732 186.371301 -42.792176 1322.2 1816.5     0.01432     0.0165      0.0278     0.0168    85.290    49.983    153.64           62.122           23.21156            304.28  -0.011311   0.00000      0.3387     0.00182     0.098          6        28        35        35      0
     216a J122530-451720 186.375232 -45.289048 1308.9  918.0     0.00128     0.0032      0.0037     0.0033    72.685    40.417    153.55           43.257            0.00000            303.50   0.009003   0.00000      0.0330     0.00056     0.049          6         7        14        14      0
     217a J122532-422556 186.384444 -42.431340 1320.4 1946.4     0.33691     0.3172      0.4267     0.3258    67.662    49.923    146.88           33.726           23.62697            294.18  -2.966317   0.00000     14.9821     0.00899     0.476          6        59        66        66      0
     218a J122533-460920 186.389701 -46.155689 1300.9  606.1     0.05980     0.0332      0.0643     0.0347    93.026    51.295      2.88           76.231            9.95468            353.41  -1.047585   0.00000    649.8008     0.00031     2.061          6       146       153       153      0
     219a J122534-445958 186.392126 -45.000200 1306.0 1022.0     0.17033     0.1698      0.1698     0.1698    58.661    43.973    147.38            0.012            0.00055            294.77  -1.256833   0.00000    999.0000     0.00055     0.000          0         0         0       107      1
     220a J122539-451737 186.414023 -45.293869 1299.0  916.4     0.00486     0.0071      0.0070     0.0074    57.662    41.840    143.66            0.000            0.00000            290.96  -0.173570   0.00000      1.5447     0.00055     0.216          6        26        33        33      0
     221a J122545-431445 186.441191 -43.245953 1301.6 1653.5     0.16311     0.1517      0.1734     0.1592    61.709    45.524    145.49           19.460           11.26467            292.74  -1.989741   0.00000    427.9581     0.00097     2.111          6        89        96        96      0
     222a J122547-453120 186.446764 -45.522491 1289.6  834.2     0.00899     0.0098      0.0111     0.0102    62.072    45.328    145.06           20.649           10.31626            292.24  -0.822956   0.00000      4.7601     0.00047     0.300          6        46        53        53      0
     223a J122548-440911 186.450088 -44.152566 1295.2 1327.3     0.00969     0.0222      0.0160     0.0223    66.323    27.897    129.13           34.442            0.00000            268.77   1.120600   0.00000      4.0655     0.00188     0.451          6        13        20        20      0
     224a J122552-440751 186.470486 -44.131384 1290.0 1335.0     3.45887     3.2915      3.2915     3.2915    58.661    43.973    147.38            0.012            0.00055            294.77  -0.974347   0.00000    999.0000     0.00191     0.000          0         0         0       174      1
     224b J122552-440751 186.435705 -44.128283 1299.0 1336.0     3.45887     3.2915      0.0165     0.0165    58.661    43.973    147.38            0.012            0.00055            294.77  -1.922163   0.00000    999.0000     0.00191     0.000          0         0         0       174      1
     225a J122554-451740 186.476540 -45.294453 1283.2  916.4     0.07240     0.0675      0.0764     0.0695    62.017    45.692    142.20           21.745            9.28723            289.18  -1.469705   0.00000    173.2273     0.00053     1.316          6        93       100       100      0
     226a J122556-442815 186.487339 -44.470708 1284.1 1212.9     0.00290     0.0051      0.0056     0.0052    64.761    43.270    135.77           30.004            0.00000            280.66  -0.004192   0.00000      0.0584     0.00065     0.050          6        16        23        23      0
     227a J122558-451156 186.492564 -45.199009 1279.5  950.8     0.03436     0.0335      0.0377     0.0351    60.955    45.455    148.51           16.760           11.22632            295.95  -1.467941  -1.81140     71.6029     0.00052     0.952          6        72        79        79      0
     228a J122601-440652 186.507246 -44.114120 1280.6 1341.3     0.07486     0.0542      0.0888     0.0553    66.875    61.970    154.67           43.861           31.84139            299.06  -0.968739   0.00000    261.7258     0.00190     1.696          6        84        91        91      0
     229a J122604-432300 186.519754 -43.383131 1280.5 1604.4     0.01574     0.0147      0.0209     0.0154    70.248    49.736    155.37           39.541           21.68284            304.68   0.009486   0.00000      2.7392     0.00089     0.221          6        49        56        56      0
     230a J122606-440915 186.527290 -44.154858 1275.2 1326.7     0.07462     0.0711      0.0750     0.0734    58.199    45.272    138.18           16.534            0.00000            286.12  -0.284018   0.00000     23.2478     0.00186     0.539          6        67        80        80      0
     230b J122606-440915 186.504582 -44.151263 1281.1 1328.0     0.07462     0.0711      0.0130     0.0129    56.270    46.268     16.09           30.512            0.00000            331.25  -2.449003   0.00000     23.2478     0.00186     0.539          6        67        80        80      0
     231a J122606-453851 186.525399 -45.647464 1269.3  789.4     0.01174     0.0122      0.0140     0.0128    62.225    45.430    147.20           20.756           11.40954            294.57  -0.339738   0.00000     12.9681     0.00043     0.469          6        52        59        59      0
     232a J122607-432742 186.531065 -43.461947 1277.2 1576.1     0.00456     0.0061      0.0099     0.0062    76.953    53.701    146.38           49.815           30.81074            293.42   0.013128   0.00000      0.1090     0.00075     0.061          6        22        29        29      0
     233a J122609-453406 186.535630 -45.572884 1267.0  816.3     0.05648     0.0417      0.0458     0.0428    61.886    44.648    143.26           20.678            4.57898            290.24  -1.275814   0.00000    102.3396     0.00046     0.769          6       154       173       173      0
     233b J122609-453406 186.554162 -45.550642 1262.4  824.4     0.05648     0.0417      0.0139     0.0119    66.401    45.494    119.69           38.971            0.00000            260.60  -0.611991   0.00000    102.3396     0.00046     0.769          6       154       173       173      0
     233c J122609-453406 186.551388 -45.599578 1262.9  806.8     0.05648     0.0417      0.0021     0.0025    65.254    33.892    164.47           32.229            0.00000            317.94  -0.028631   0.00000    102.3396     0.00046     0.769          6       154       173       173      0
     234a J122611-463326 186.548682 -46.557116 1259.5  462.1     0.00310     0.0036      0.0054     0.0037    72.950    51.198    145.30           43.417           26.13616            292.09   0.003540   0.00000      0.6344     0.00038     0.133          6        29        36        36      0
     235a J122611-452515 186.548788 -45.420779 1264.3  871.1     0.00152     0.0029      0.0035     0.0029    64.129    47.949    136.22           29.550           12.79569            282.56   0.020110   0.00000      0.0168     0.00045     0.029          6        13        20        20      0
     236a J122613-460603 186.556897 -46.100791 1259.4  626.4     0.00249     0.0032      0.0042     0.0033    67.099    49.330    141.81           33.307           21.25148            288.32   0.028968   0.00000      0.5655     0.00030     0.129          6        27        34        34      0
     237a J122613-445500 186.556776 -44.916608 1264.4 1052.6     0.01754     0.0172      0.0208     0.0182    63.190    46.619    144.23           24.012           14.66455            291.31  -1.161110   0.00000     13.8665     0.00056     0.469          6        56        63        63      0
     238a J122617-433325 186.573350 -43.557404 1265.7 1541.9     0.00306     0.0044      0.0085     0.0044    89.958    54.938    156.35           68.576           32.14410            308.61   0.030471   0.00000      0.0874     0.00067     0.059          6        18        25        25      0
     239a J122619-434054 186.580254 -43.681853 1263.4 1497.1     0.01673     0.0155      0.0213     0.0163    70.159    48.281    147.25           38.486           19.93587            294.59   0.011434   0.00000      9.5040     0.00061     0.401          6        52        59        59      0
     240a J122620-465608 186.583748 -46.935766 1249.2  326.0     0.02943     0.0301      0.0345     0.0310    62.380    45.966    144.17           21.870           12.28882            291.29  -2.950675   0.00000     16.4591     0.00085     0.511          6        56        63        63      0
     241a J122620-435203 186.584261 -43.867995 1261.7 1430.2     0.00218     0.0048      0.0062     0.0049    70.102    46.326    137.52           39.543           11.04262            281.98   0.009278   0.00000      0.0268     0.00081     0.041          6         9        16        16      0
     242a J122625-435053 186.603964 -43.848286 1256.6 1437.3     0.00993     0.0099      0.0144     0.0103    69.289    52.054    145.42           36.961           27.74337            292.48   0.017780   0.00000      1.9526     0.00077     0.202          6        41        48        48      0
     243a J122625-463258 186.605826 -46.549669 1245.4  465.0     0.00424     0.0050      0.0060     0.0051    63.221    48.232    126.58           32.307            0.00000            272.85   0.001576   0.00000      1.4792     0.00038     0.188          6        35        42        42      0
     244a J122626-430331 186.607822 -43.058827 1258.7 1721.4     0.01171     0.0126      0.0198     0.0129    73.921    53.461    164.60           47.725           25.88441            316.72  -0.002105   0.00000      0.4988     0.00132     0.112          6        33        40        40      0
     245a J122627-443741 186.614538 -44.628004 1250.9 1156.7     0.00269     0.0050      0.0058     0.0050    63.961    46.258    140.47           27.038           11.17936            286.96   0.041177   0.00000      0.0810     0.00065     0.062          6        14        21        21      0
     246a J122630-434658 186.627687 -43.782958 1250.7 1460.9     0.00674     0.0077      0.0107     0.0078    69.589    50.552    145.42           37.505           24.83493            292.41   0.023462   0.00000      0.5616     0.00068     0.118          6        33        40        40      0
     247a J122631-444756 186.632447 -44.798978 1245.6 1095.2     0.01762     0.0177      0.0213     0.0184    63.369    47.194    148.96           24.116           16.93094            296.48  -1.215062   0.00000      8.4055     0.00059     0.374          6        53        60        60      0
     248a J122632-462634 186.635438 -46.442812 1238.5  503.5     0.07671     0.0695      0.0794     0.0726    62.543    45.135    139.96           23.902            1.62251            286.53  -1.527114   0.00000    212.8125     0.00036     1.372          6       106       113       113      0
     249a J122634-453800 186.643622 -45.633309 1239.6  794.9     0.00649     0.0068      0.0088     0.0069    65.501    50.413    140.14           31.085           22.15535            286.98  -0.290891   0.00000      3.4132     0.00042     0.261          6        43        50        50      0
     250a J122636-454754 186.653027 -45.798353 1236.6  735.5     0.00459     0.0050      0.0064     0.0052    63.794    49.952    152.95           27.354           21.02147            300.46  -0.876344   0.00000      2.4977     0.00033     0.233          6        39        46        46      0
     251a J122642-443439 186.677104 -44.577886 1235.0 1174.9     0.05715     0.0536      0.0617     0.0544    66.204    44.203    145.81           30.737            4.15799            292.83  -0.609747   0.00000     84.7154     0.00070     0.970          6        83        90        90      0
     252a J122644-461144 186.685314 -46.197252 1227.0  592.0     0.10724     0.0956      0.0956     0.0956    58.661    43.973    147.38            0.012            0.00055            294.77  -1.663924   0.00000    999.0000     0.00033     0.000          0         0         0       130      1
     253a J122646-444625 186.693070 -44.773884 1230.2 1104.4     0.01441     0.0155      0.0181     0.0161    62.235    46.657    151.06           21.838           14.08468            298.66   0.329777   0.00000      8.1040     0.00061     0.391          6        46        53        53      0
     254a J122648-455448 186.702159 -45.911896 1223.8  694.7     0.09789     0.0934      0.0945     0.0949    59.043    43.460    146.82            6.886            0.00000            294.19  -1.311837  -1.51638    483.0243     0.00031     1.706          6       153       166       166      0
     254b J122648-455448 186.728635 -45.934955 1217.1  686.5     0.09789     0.0934      0.0072     0.0058    64.431    49.599    159.66           31.146           16.32817            307.76  -0.650030  -0.53628    483.0243     0.00031     1.706          6       153       166       166      0
     255a J122649-451630 186.705577 -45.275120 1225.2  924.0     0.00303     0.0041      0.0051     0.0042    67.209    47.090    156.72           34.319           13.48532            306.06   0.014372   0.00000      0.2424     0.00043     0.087          6        25        32        32      0
     256a J122655-435558 186.732654 -43.932902 1222.9 1407.2     0.01804     0.0185      0.0231     0.0191    63.568    49.130    152.45           26.279           19.73037            300.03  -0.451756   0.00000      4.8996     0.00096     0.301          6        47        54        54      0
     257a J122701-462341 186.753382 -46.394758 1209.4  521.1     0.00215     0.0032      0.0043     0.0032    71.828    47.699    157.06           42.452           16.04648            307.50   0.001482   0.00000      0.0568     0.00041     0.046          6        20        27        27      0
     258a J122701-453923 186.757547 -45.656808 1210.8  786.7     0.00956     0.0070      0.0122     0.0071    83.773    52.496    179.85           64.307           16.23193            344.13  -1.230582   0.00000      5.0565     0.00037     0.256          6        70        77        77      0
     259a J122709-460515 186.789966 -46.087646 1201.3  631.7     0.00563     0.0058      0.0072     0.0061    65.080    47.202    146.41           28.214           17.10969            293.66  -0.835567   0.00000      3.3630     0.00033     0.252          6        46        53        53      0
     260a J122715-450317 186.816372 -45.054766 1197.9 1003.6     0.01982     0.0192      0.0223     0.0199    61.594    46.804    148.67           19.079           15.67227            296.09  -1.173232   0.00000     28.2916     0.00039     0.623          6        66        73        73      0
     261a J122716-431911 186.817097 -43.319963 1202.9 1628.0     0.00849     0.0106      0.0122     0.0109    65.923    43.814    157.68           31.905            0.00000            307.50   0.014904   0.00000      1.7024     0.00077     0.209          6        32        39        39      0
     262a J122716-425846 186.817892 -42.979644 1203.6 1750.4     0.03704     0.0347      0.0462     0.0369    66.251    48.784    147.00           30.795           21.11865            294.33   0.011524   0.00000     19.7545     0.00149     0.574          6        53        60        60      0
     263a J122718-451836 186.826573 -45.309930 1194.5  911.7     0.00731     0.0078      0.0094     0.0082    65.532    45.596    151.84           29.676           10.86485            300.07  -0.093219   0.00000      6.0896     0.00042     0.346          6        44        51        51      0
     264a J122721-454549 186.839012 -45.763696 1190.0  748.4     0.01141     0.0117      0.0131     0.0122    61.198    45.413    143.39           18.917            8.65544            290.55  -1.074975   0.00000     15.0818     0.00033     0.482          6        58        65        65      0
     265a J122722-442142 186.844180 -44.361958 1192.8 1253.0     0.04008     0.0413      0.0450     0.0427    61.041    44.564    146.75           16.917            7.14004            294.09  -0.257543   0.00000     53.5862     0.00081     0.875          6        63        70        70      0
     266a J122725-461716 186.855397 -46.287872 1184.4  559.8     0.00182     0.0029      0.0036     0.0030    69.882    45.422    145.79           38.011           11.27216            292.70  -0.017106   0.00000      0.1370     0.00038     0.074          6        18        25        25      0
     267a J122726-454113 186.860406 -45.687086 1184.8  776.0     0.00326     0.0037      0.0051     0.0038    74.215    46.694    145.14           45.507           15.57355            291.68  -0.650530   0.00000      0.4154     0.00034     0.102          6        33        40        40      0
     268a J122731-455219 186.881932 -45.872428 1178.9  709.3     0.00167     0.0024      0.0035     0.0024    75.988    49.378    155.87           48.899           21.13079            306.48   0.018570   0.00000      0.2504     0.00030     0.095          6        21        28        28      0
     269a J122732-442517 186.886690 -44.421554 1181.7 1231.6     0.02745     0.0241      0.0321     0.0251    67.626    48.882    132.65           36.961           14.89567            277.28  -1.184102   0.00000     14.9153     0.00078     0.452          6        66        73        73      0
     270a J122736-462843 186.901472 -46.478818 1172.4  491.1     0.00344     0.0046      0.0052     0.0047    62.923    45.568    108.75           37.403            0.00000            251.08  -0.688640   0.00000      0.7074     0.00038     0.142          6        28        35        35      0
     271a J122736-453623 186.902064 -45.606379 1174.6  805.2     0.00702     0.0067      0.0088     0.0071    65.942    48.693    145.43           30.239           20.73976            292.55  -0.697642   0.00000      6.1839     0.00031     0.327          6        51        58        58      0
     272a J122739-462050 186.914462 -46.347286 1169.5  538.5     0.00164     0.0023      0.0074     0.0022   170.980    51.836     89.39          163.994            0.00000            181.77  -0.427120   0.00000      1.8434     0.00038     0.266          6        19        26        26      0
     273a J122739-435739 186.915031 -43.960647 1175.6 1397.6     0.00325     0.0050      0.0061     0.0052    67.418    45.187    142.64           33.605            9.11238            288.85   0.001036   0.00000      0.0800     0.00068     0.055          6        19        26        26      0
