#      ID           Name         RA        DEC      X      Y       F_int     F_peak  F_int(fit)  F_pk(fit)  Maj(fit)  Min(fit) P.A.(fit) Maj(fit_deconv.)   Min(fit_deconv.) P.A.(fit_deconv.)      Alpha      Beta  Chisq(fit)  RMS(image)  RMS(fit) Nfree(fit) NDoF(fit) NPix(fit) NPix(obj) Guess?
#      --             --      [deg]      [deg]  [pix]  [pix]        [Jy]  [Jy/beam]        [Jy]  [Jy/beam]  [arcsec]  [arcsec]     [deg]         [arcsec]           [arcsec]             [deg]         --        --          --   [Jy/beam] [Jy/beam]         --        --        --        --     --
      18a J121656-423203 184.237611 -42.531408 1889.0 1895.0     0.03218     0.0465      0.0465     0.0465    58.661    43.973    147.38            0.012            0.00055            294.77   0.034061   0.01645    999.0000     0.00181     0.000          0         0         0        39      1
      18b J121656-423203 184.229052 -42.550631 1891.0 1888.0     0.03218     0.0465      0.0196     0.0196    58.661    43.973    147.38            0.012            0.00055            294.77   0.007862   0.00390    999.0000     0.00181     0.000          0         0         0        39      1
      19a J121703-423048 184.265460 -42.513581 1881.9 1901.7     0.01203     0.0357      0.0196     0.0374    45.897    29.444    137.60            0.000            0.00000            285.94  -0.245515   0.00000      4.6279     0.00180     0.555          6         8        15        15      0
      20a J121716-443611 184.319908 -44.603123 1838.7 1150.9     0.06855     0.0624      0.0821     0.0644    67.106    49.016    152.72           33.244           20.63731            300.99  -2.192934   0.00000     13.4099     0.00201     0.444          6        61        68        68      0
      21a J121722-451123 184.344391 -45.189866 1824.2  940.1     0.05752     0.0542      0.0669     0.0557    64.079    48.349    157.90           29.323           14.46148            306.13  -2.616930   0.00000     13.1284     0.00166     0.433          6        63        70        70      0
      22a J121728-463618 184.370346 -46.604857 1797.7  431.4     0.01028     0.0139      0.0193     0.0144    69.361    49.840    155.83           38.126           21.60070            305.04   0.035068   0.00000      0.1559     0.00167     0.072          6        23        30        30      0
      23a J121732-422633 184.390866 -42.444541 1849.6 1927.8     0.01434     0.0306      0.0347     0.0318    88.535    31.789    116.94           69.675            0.00000            243.77   0.010856   0.00000      1.0736     0.00434     0.238          6        12        19        19      0
      24a J121733-433809 184.389421 -43.636167 1834.0 1499.4     0.05646     0.0443      0.0722     0.0458    81.561    49.815    158.52           57.415           21.50692            311.18   0.005542   0.00000      8.7672     0.00226     0.351          6        64        71        71      0
      25a J121739-462601 184.413080 -46.433618 1789.5  493.4     0.11560     0.1114      0.1238     0.1155    60.414    45.767    160.64           23.168            0.00000            308.23  -3.687049   0.00000     78.7696     0.00145     0.952          6        80        87        87      0
      26a J121739-433250 184.413265 -43.547294 1829.0 1531.6     0.00832     0.0145      0.0183     0.0147    66.300    48.599    156.24           32.680           17.73987            304.95   0.011011   0.00000      0.1276     0.00219     0.076          6        15        22        22      0
      27a J121742-435302 184.424712 -43.883924 1821.6 1410.6     0.08062     0.0620      0.0976     0.0653    71.800    53.673    157.32           42.777           28.83433            306.74   0.010737   0.00000     24.6359     0.00218     0.562          6        71        78        78      0
      28a J121746-422408 184.443943 -42.403789 1836.0 1943.0     0.00113     0.0105      0.0105     0.0105    58.661    43.973    147.38            0.012            0.00055            294.77   0.271982   0.00000    999.0000     0.00163     0.000          0         0         0         4      1
      29a J121754-440513 184.474829 -44.086903 1805.9 1338.1     0.01502     0.0159      0.0283     0.0160    84.475    53.935    131.50           62.131           28.46077            271.20  -0.009930   0.00000      0.4064     0.00192     0.102          6        32        39        39      0
      30a J121804-454421 184.517210 -45.739392 1773.1  744.0     0.02428     0.0246      0.0321     0.0250    66.773    49.490    156.65           33.803           19.76016            305.36  -1.174635   0.00000      1.1502     0.00137     0.147          6        46        53        53      0
      31a J121808-441132 184.533073 -44.192381 1789.5 1300.7     0.10360     0.0872      0.1177     0.0913    69.101    48.120    159.62           38.534           15.19280            309.99  -2.387210   0.00000     60.0360     0.00179     0.856          6        75        82        82      0
      32a J121810-452834 184.542892 -45.476024 1770.1  839.0     0.02111     0.0211      0.0287     0.0215    68.597    50.202    154.30           36.451           22.85436            302.96  -0.277922   0.00000      2.4190     0.00130     0.216          6        45        52        52      0
      33a J121819-463524 184.579641 -46.589910 1746.2  438.7     0.00482     0.0078      0.0114     0.0079    72.407    51.176    149.75           42.516           26.06427            297.77  -0.009292   0.00000      0.0256     0.00120     0.033          6        16        23        23      0
      34a J121820-451257 184.584582 -45.215753 1763.0  933.0     0.04086     0.0360      0.0503     0.0369    70.555    49.743    142.67           39.520           22.71033            288.88  -0.673715   0.00000      7.1618     0.00155     0.327          6        60        67        67      0
      35a J121825-450225 184.606788 -45.040592 1759.7  996.3     0.01157     0.0126      0.0189     0.0131    71.217    52.529    159.94           42.424           25.62395            310.01  -0.011648   0.00000      0.8121     0.00130     0.142          6        33        40        40      0
      36a J121831-461512 184.631525 -46.253532 1737.7  560.1     0.00555     0.0069      0.0138     0.0069    78.551    65.221      3.74           59.605           38.68564            336.14   0.009114   0.00000      0.3917     0.00105     0.114          6        23        30        30      0
      37a J121836-462724 184.651648 -46.457236 1730.1  487.0     0.03147     0.0124      0.0491     0.0127   178.659    55.653    153.57          168.809           33.84088            306.53  -1.601443   0.00000     22.4499     0.00097     0.438          6       110       117       117      0
      38a J121837-460748 184.657265 -46.130213 1732.9  604.7     0.24687     0.2257      0.2541     0.2260    63.292    45.830    163.54           29.624            0.00000            312.86  -3.004265   0.00000    424.0079     0.00119     1.880          6       113       120       120      0
      39a J121837-453951 184.657469 -45.664185 1738.9  772.4     0.14325     0.1382      0.1521     0.1429    59.953    45.792    149.53           14.650           10.09098            296.90  -3.641402   0.00000    157.1148     0.00114     1.300          6        86        93        93      0
      40a J121838-442450 184.644901 -44.410949 1757.9 1223.1     0.09925     0.0455      0.0593     0.0470    67.119    48.469    150.30           32.812           20.07249            298.20  -1.159479   0.00000    124.4019     0.00147     0.967          6       120       133       133      0
      40b J121838-442450 184.677309 -44.417287 1749.5 1221.1     0.09925     0.0455      0.0573     0.0449    67.124    49.029    149.75           32.764           21.47690            297.53  -0.901610   0.00000    124.4019     0.00147     0.967          6       120       133       133      0
      41a J121839-434714 184.664747 -43.787228 1760.6 1447.7     0.00750     0.0103      0.0145     0.0106    72.087    49.169    139.17           42.655           20.49297            284.11   0.004625   0.00000      0.2977     0.00140     0.101          6        22        29        29      0
      42a J121845-434326 184.690403 -43.723911 1754.7 1470.7     0.00364     0.0076      0.0106     0.0077    70.095    50.530    148.83           38.403           24.84045            296.54   0.014255   0.00000      0.0508     0.00136     0.055          6        10        17        17      0
      43a J121847-463647 184.699450 -46.612656 1716.3  431.6     0.00293     0.0061      0.0080     0.0063    70.990    46.165    152.43           40.276           13.18559            301.41  -0.028665   0.00000      0.0255     0.00102     0.039          6        10        17        17      0
      44a J121857-465838 184.739337 -46.980177 1701.8  299.7     0.01583     0.0222      0.0337     0.0228    74.843    50.935    152.84           46.768           25.17661            302.05   0.011316   0.00000      0.6986     0.00182     0.148          6        25        32        32      0
      45a J121858-453714 184.744553 -45.620572 1717.5  788.8     0.06084     0.0514      0.0675     0.0528    71.147    46.400    162.42           42.506            5.78059            314.68  -2.911225   0.00000     34.5687     0.00096     0.627          6        81        88        88      0
      46a J121859-452308 184.749360 -45.386003 1719.2  873.2     0.10263     0.0923      0.1122     0.0950    64.631    47.180    153.60           28.346           14.99487            301.78  -3.187757   0.00000    151.4991     0.00120     1.312          6        81        88        88      0
      47a J121902-441043 184.759269 -44.178297 1731.3 1307.8     0.00488     0.0078      0.0139     0.0080    84.791    53.144    146.89           61.226           29.84177            294.04   0.005349   0.00000      0.0171     0.00119     0.028          6        15        22        22      0
      48a J121906-460640 184.775059 -46.111241 1703.8  612.5     0.03879     0.0378      0.0434     0.0387    59.969    48.221    144.01           20.421           11.39395            291.68  -1.422348   0.00000      8.1326     0.00097     0.332          6        67        74        74      0
      49a J121907-441900 184.781919 -44.316356 1723.9 1258.4     0.00558     0.0082      0.0163     0.0083    85.801    59.019    127.97           64.556           36.09489            266.53   0.014675   0.00000      0.0682     0.00127     0.053          6        17        24        24      0
      50a J121914-451024 184.809821 -45.173570 1706.5  950.2     0.26577     0.2531      0.2783     0.2637    60.635    44.906    152.17           17.651            2.61103            299.78  -2.152578   0.00000    329.8795     0.00138     1.798          6        95       102       102      0
      51a J121916-450725 184.819949 -45.113744 1704.6  971.8     0.02887     0.0178      0.0242     0.0183    67.843    50.268    149.29           34.169           24.23323            296.97   0.007717   0.00000      5.9971     0.00122     0.266          6        72        85        85      0
      51b J121916-450725 184.819367 -45.139090 1704.5  962.7     0.02887     0.0178      0.0166     0.0149    67.458    42.639    143.02           33.594            0.00000            289.14   0.001885   0.00000      5.9971     0.00122     0.266          6        72        85        85      0
      52a J121926-441738 184.861378 -44.293816 1703.7 1267.2     0.00451     0.0074      0.0120     0.0075    78.682    52.557    139.94           52.856           28.00886            284.42  -0.007927   0.00000      0.0520     0.00115     0.049          6        15        22        22      0
      53a J121928-460453 184.870394 -46.081531 1680.4  624.0     0.01838     0.0195      0.0223     0.0202    62.111    45.921    146.22           20.521           13.06601            293.52  -0.721442   0.00000      3.6136     0.00079     0.254          6        49        56        56      0
      54a J121929-433029 184.870718 -43.507956 1710.3 1549.9     0.06525     0.0589      0.0744     0.0608    64.824    48.732    153.15           28.846           19.23607            301.09  -2.030099   0.00000     28.9495     0.00135     0.617          6        69        76        76      0
      55a J121930-454700 184.874876 -45.783355 1682.8  731.3     0.02213     0.0233      0.0259     0.0242    61.263    45.128    152.93           19.868            4.48622            300.67  -1.874457   0.00000     10.5764     0.00070     0.416          6        54        61        61      0
      56a J121937-452640 184.904171 -45.444442 1679.4  853.5     0.03915     0.0391      0.0441     0.0414    61.155    44.893    145.13           17.775            8.03864            292.36  -2.049820   0.00000     18.6994     0.00107     0.521          6        62        69        69      0
      57a J121938-432634 184.911756 -43.442769 1700.3 1573.7     0.00504     0.0090      0.0116     0.0092    66.882    48.538    150.22           32.321           20.24285            298.08   0.007977   0.00000      0.0246     0.00134     0.034          6        14        21        21      0
      58a J121939-443742 184.914285 -44.628945 1686.2 1147.0     0.00697     0.0069      0.0120     0.0070    85.603    51.653    172.45           65.160           19.37298            333.28  -0.002770   0.00000      1.5032     0.00076     0.185          6        37        44        44      0
      59a J121942-434219 184.925891 -43.705330 1693.7 1479.4     0.08630     0.0835      0.0942     0.0873    62.259    44.675    152.51           22.093            3.02475            300.46  -1.896391   0.00000     75.9443     0.00118     0.968          6        74        81        81      0
      60a J121942-432025 184.926714 -43.340307 1697.5 1610.7     0.00844     0.0109      0.0165     0.0112    72.345    52.610    147.27           42.339           28.88321            294.62   0.049475   0.00000      0.3557     0.00137     0.107          6        24        31        31      0
      61a J121947-433315 184.946114 -43.554610 1690.1 1533.8     0.01393     0.0141      0.0208     0.0144    72.379    51.747    166.14           45.753           21.17561            318.54  -0.001571  -0.00079      1.5431     0.00124     0.181          6        40        47        47      0
      62a J122000-452127 185.004725 -45.359121 1655.0  885.0     0.30912     0.2449      0.2449     0.2449    58.661    43.973    147.38            0.012            0.00055            294.77  -2.541114   0.00000    999.0000     0.00106     0.000          0         0         0       138      1
      63a J122001-462023 185.005102 -46.339322 1643.9  532.3     0.00165     0.0034      0.0048     0.0035    76.808    45.630    139.24           50.073            9.97872            283.08   0.002748   0.00000      0.0059     0.00057     0.019          6        10        17        17      0
      64a J122001-443635 185.006846 -44.609860 1662.8 1154.6     0.00709     0.0077      0.0106     0.0079    68.475    50.413    151.32           35.646           24.18376            299.39  -0.003723   0.00000      0.7734     0.00070     0.134          6        36        43        43      0
      65a J122002-455256 185.009183 -45.882480 1648.0  696.7     0.01162     0.0133      0.0144     0.0137    61.942    43.918    147.95           19.910            0.00000            295.40  -1.152393   0.00000      4.7527     0.00056     0.305          6        44        51        51      0
      66a J122004-462451 185.018868 -46.414256 1639.6  505.5     0.00930     0.0093      0.0127     0.0098    66.618    50.072    143.40           32.058           23.29615            290.29  -1.495513   0.00000      2.5166     0.00058     0.224          6        43        50        50      0
      67a J122005-460112 185.024577 -46.020293 1642.6  647.3     0.02920     0.0306      0.0326     0.0318    60.537    43.699    149.10           15.255            0.00000            296.61  -1.598159   0.00000     19.3457     0.00058     0.530          6        62        69        69      0
      68a J122007-461855 185.031447 -46.315061 1637.6  541.3     0.00298     0.0037      0.0076     0.0037   109.425    48.601    137.45           92.658           19.37822            277.55   0.008811   0.00000      1.0840     0.00056     0.190          6        23        30        30      0
      69a J122008-451202 185.035308 -45.200661 1649.0  942.3     0.02187     0.0224      0.0276     0.0228    65.209    47.769    148.86           28.554           18.54872            296.44  -0.971123   0.00000      3.5222     0.00098     0.251          6        49        56        56      0
      70a J122009-453202 185.038962 -45.534018 1644.4  822.3     0.01811     0.0188      0.0217     0.0195    62.735    45.800    148.46           22.303           12.69199            295.95  -0.681465   0.00000     13.0199     0.00068     0.470          6        52        59        59      0
      71a J122011-445628 185.049334 -44.941499 1648.3 1035.6     0.01558     0.0161      0.0197     0.0171    65.432    45.333    148.30           29.005           10.96721            295.86   0.012770   0.00630      9.6581     0.00071     0.427          6        46        53        53      0
      72a J122015-430120 185.065184 -43.022527 1664.6 1726.1     0.02235     0.0231      0.0377     0.0236    75.228    54.646    155.70           47.816           31.37362            305.41  -0.005231   0.00000      0.3033     0.00220     0.085          6        35        42        42      0
      73a J122019-452334 185.080799 -45.392748 1635.4  873.5     0.01424     0.0145      0.0188     0.0151    64.930    49.635    151.32           28.600           22.06386            299.00  -0.538034   0.00000      2.1993     0.00090     0.206          6        45        52        52      0
      74a J122021-435947 185.087588 -43.996582 1648.6 1375.9     0.01767     0.0138      0.0231     0.0144    78.261    53.067    165.81           54.104           25.27649            320.29   0.018471   0.00000      3.3247     0.00081     0.221          6        61        68        68      0
      75a J122023-433554 185.095374 -43.598241 1650.7 1519.3     0.00660     0.0085      0.0121     0.0087    72.060    49.622    152.27           42.135           22.46724            301.06   0.013654   0.00000      0.1702     0.00097     0.073          6        25        32        32      0
      76a J122024-434450 185.103105 -43.747428 1647.2 1465.7     0.12923     0.1241      0.1371     0.1283    61.106    45.115    151.64           18.698            6.69951            299.28  -1.865718   0.00000    203.1648     0.00089     1.470          6        87        94        94      0
      77a J122041-444958 185.173480 -44.832736 1617.8 1075.7     0.00241     0.0045      0.0058     0.0045    72.315    46.094    167.48           45.613            0.00000            322.08  -0.001249   0.00000      0.0281     0.00068     0.037          6        13        20        20      0
      78a J122042-463156 185.175996 -46.532345 1599.4  464.2     0.00708     0.0093      0.0104     0.0096    57.295    48.813    152.20           21.551            0.00000            298.37  -2.143170   0.00000      0.8204     0.00070     0.151          6        29        36        36      0
      79a J122042-451000 185.176771 -45.166400 1613.5  955.6     0.16150     0.1594      0.1689     0.1664    59.350    44.105    147.65            9.054            3.29964            295.04  -1.805949   0.00000    228.2037     0.00079     1.526          6        91        98        98      0
      80a J122044-454953 185.186149 -45.831570 1604.2  716.4     0.00212     0.0035      0.0043     0.0036    65.757    46.723    134.22           32.918            6.97965            279.28  -0.009456   0.00000      0.2410     0.00046     0.100          6        17        24        24      0
      81a J122047-432036 185.198259 -43.343498 1626.5 1611.7     0.00415     0.0065      0.0094     0.0067    75.804    47.858    164.15           50.068           12.45334            318.28   0.000272   0.00014      0.1384     0.00097     0.076          6        17        24        24      0
